feature,Common-bean_G13094_cooked_pos_472025_011,Common-bean_G13094_cooked_pos_472025_012,Common-bean_G13094_cooked_pos_472025_013,Common-bean_G17162A_cooked_pos_472025_014,Common-bean_G17162A_cooked_pos_472025_015,Common-bean_G17162A_cooked_pos_472025_016,Common-bean_G4449_cooked_pos_472025_023,Common-bean_G4449_cooked_pos_472025_024,Common-bean_G4449_cooked_pos_472025_025,Lima-bean_G26506_cooked_pos_472025_017,Lima-bean_G26506_cooked_pos_472025_018,Lima-bean_G26506_cooked_pos_472025_019,Tepary-bean_G40084_cooked_pos_472025_020,Tepary-bean_G40084_cooked_pos_472025_021,Tepary-bean_G40084_cooked_pos_472025_022,Common-bean_G4449_019,Common-bean_G4449_020,Common-bean_G4449_021,Common-bean_G13094_022,Common-bean_G13094_023,Common-bean_G13094_024,Lima-bean_G26506_051,Lima-bean_G26506_052,Lima-bean_G26506_053,Common-bean_G17162A_038,Common-bean_G17162A_039,Common-bean_G17162A_040,Tepary-bean_G40084_085,Tepary-bean_G40084_086,Tepary-bean_G40084_087
Group,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
665.9924954@162.6181482309323_neg,0,0,0,0,0,0,0,0,0,38199.44665,37085.5303,37373.02617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.9677657@157.1074498047184_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.9662819@162.4131495099506_neg,0,0,0,0,0,0,0,0,0,43077.44956,41762.41584,41852.9382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.9354979@162.6181482309323_neg,0,0,0,0,0,0,0,0,0,43287.9047,42527.39427,43614.43819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.9121415@157.1371284499853_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.8809775@162.4131495099506_neg,0,0,0,0,0,0,0,0,0,46308.7425,44990.35719,45373.1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.8540809@157.0703405891599_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.8513295@162.4473364629097_neg,0,0,0,0,0,0,0,0,0,43576.16854,42406.78398,42688.52522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.8258532@157.2039350119104_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.8236118@162.4814926666756_neg,0,0,0,0,0,0,0,0,0,44333.90923,44220.69858,44085.85328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7946476@157.2262017879855_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7927184@162.3106747488143_neg,0,0,0,0,0,0,0,0,0,42051.62465,41608.59994,40958.71676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7640728@162.6181482309323_neg,0,0,0,0,0,0,0,0,0,40771.78313,40181.06075,40336.63208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7352742@157.0925886641352_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7332557@162.5839858773278_neg,0,0,0,0,0,0,0,0,0,39235.39283,38446.17749,38703.04618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7059752@157.1000192344268_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.7036599@162.3106747488143_neg,0,0,0,0,0,0,0,0,0,29963.73629,31367.08399,29933.8669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.6743452@162.4814926666756_neg,0,0,0,0,0,0,0,0,0,32740.29597,33405.65968,32380.22017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.6438227@162.4473364629097_neg,0,0,0,0,0,0,0,0,0,31423.64174,31587.67898,25674.20769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.6119377@157.196491974219_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.6093523@162.5498173738846_neg,0,0,0,0,0,0,0,0,0,35327.18872,34809.00616,35005.33683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
